t, quat_w, quat_x, quat_y, quat_z, pos_x, pos_y, pos_z, gyro_x, gyro_y, gyro_z, accel_x, accel_y, accel_z, LeftControl, RightControl,Pitch, PitchVel, 
0.010000, 1.000000, 0.000131, -0.000000, -0.000000, -0.000000, 0.000004, 0.039727, 0.052067, -0.000110, -0.000046, -0.000395, 0.090221, 8.663660, 0.016028, -0.016028, 0.000262, 0.052067, 
0.020000, 0.999999, -0.001545, -0.000001, 0.000000, -0.000000, -0.000137, 0.039377, -0.552011, -0.000184, 0.000108, -0.000086, -2.008998, 10.606781, -0.000473, 0.000473, -0.003089, -0.552011, 
0.030000, 0.999995, -0.003268, -0.000002, 0.000000, -0.000000, -0.000298, 0.039119, -0.225535, -0.000131, -0.000060, 0.000188, 0.778219, 11.138719, 0.006836, -0.006836, -0.006536, -0.225535, 
0.040000, 0.999989, -0.004711, -0.000002, -0.000000, -0.000000, -0.000454, 0.038981, -0.324307, -0.000115, -0.000062, 0.000072, -0.552593, 10.647224, 0.003471, -0.003471, -0.009422, -0.324307, 
0.050000, 0.999982, -0.006077, -0.000003, -0.000001, -0.000000, -0.000621, 0.038919, -0.243854, -0.000096, -0.000109, 0.000142, -0.011533, 10.258440, 0.004724, -0.004724, -0.012154, -0.243854, 
0.060000, 0.999973, -0.007299, -0.000003, -0.000001, -0.000000, -0.000790, 0.038897, -0.244277, -0.000073, -0.000119, 0.000152, -0.270816, 10.027139, 0.004002, -0.004002, -0.014597, -0.244277, 
0.070000, 0.999965, -0.008418, -0.000004, -0.000002, -0.000000, -0.000965, 0.038895, -0.211910, -0.000050, -0.000133, 0.000154, -0.181645, 9.904145, 0.004183, -0.004183, -0.016836, -0.211910, 
0.080000, 0.999956, -0.009430, -0.000004, -0.000002, -0.000000, -0.001145, 0.038901, -0.196594, -0.000032, -0.000138, 0.000141, -0.245868, 9.837965, 0.003998, -0.003998, -0.018860, -0.196594, 
0.090000, 0.999946, -0.010350, -0.000004, -0.000003, -0.000000, -0.001328, 0.038909, -0.176453, -0.000018, -0.000140, 0.000127, -0.242591, 9.807070, 0.003997, -0.003997, -0.020701, -0.176453, 
0.100000, 0.999937, -0.011184, -0.000004, -0.000004, -0.000000, -0.001517, 0.038918, -0.160927, -0.000008, -0.000140, 0.000113, -0.267747, 9.793805, 0.003935, -0.003935, -0.022369, -0.160927, 
0.110000, 0.999929, -0.011942, -0.000004, -0.000005, -0.000000, -0.001710, 0.038925, -0.145701, -0.000002, -0.000138, 0.000102, -0.278923, 9.790180, 0.003916, -0.003916, -0.023884, -0.145701, 
0.120000, 0.999920, -0.012630, -0.000004, -0.000005, -0.000000, -0.001908, 0.038930, -0.132472, 0.000002, -0.000135, 0.000093, -0.294522, 9.790703, 0.003893, -0.003893, -0.025260, -0.132472, 
0.132000, 0.999911, -0.013373, -0.000004, -0.000006, -0.000000, -0.002151, 0.038935, -0.118096, 0.000004, -0.000131, 0.000086, -0.309310, 9.793406, 0.003882, -0.003882, -0.026746, -0.118096, 
0.142000, 0.999903, -0.013930, -0.000004, -0.000007, -0.000000, -0.002360, 0.038938, -0.107353, 0.000005, -0.000127, 0.000082, -0.320244, 9.795885, 0.003882, -0.003882, -0.027862, -0.107353, 
0.152000, 0.999896, -0.014438, -0.000004, -0.000007, -0.000000, -0.002573, 0.038940, -0.097751, 0.000005, -0.000123, 0.000080, -0.330823, 9.798003, 0.003887, -0.003887, -0.028877, -0.097751, 
0.162000, 0.999889, -0.014900, -0.000004, -0.000008, -0.000000, -0.002791, 0.038941, -0.089058, 0.000005, -0.000119, 0.000079, -0.340056, 9.799647, 0.003899, -0.003899, -0.029802, -0.089058, 
0.172000, 0.999883, -0.015322, -0.000004, -0.000009, -0.000000, -0.003015, 0.038942, -0.081239, 0.000005, -0.000115, 0.000078, -0.348607, 9.800814, 0.003915, -0.003915, -0.030645, -0.081239, 
0.182000, 0.999877, -0.015707, -0.000004, -0.000009, -0.000000, -0.003243, 0.038942, -0.074185, 0.000004, -0.000111, 0.000078, -0.356307, 9.801590, 0.003937, -0.003937, -0.031416, -0.074185, 
0.192000, 0.999871, -0.016059, -0.000004, -0.000010, -0.000000, -0.003476, 0.038942, -0.067832, 0.000004, -0.000108, 0.000078, -0.363344, 9.802062, 0.003962, -0.003962, -0.032120, -0.067832, 
0.202000, 0.999866, -0.016382, -0.000004, -0.000010, -0.000000, -0.003715, 0.038943, -0.062108, 0.000004, -0.000105, 0.000078, -0.369740, 9.802314, 0.003992, -0.003992, -0.032765, -0.062108, 
0.212000, 0.999861, -0.016677, -0.000004, -0.000011, -0.000000, -0.003959, 0.038943, -0.056953, 0.000004, -0.000102, 0.000079, -0.375579, 9.802415, 0.004025, -0.004025, -0.033356, -0.056953, 
0.222000, 0.999856, -0.016948, -0.000004, -0.000011, -0.000000, -0.004207, 0.038943, -0.052310, 0.000003, -0.000099, 0.000079, -0.380909, 9.802416, 0.004060, -0.004060, -0.033898, -0.052310, 
0.232000, 0.999852, -0.017198, -0.000004, -0.000012, -0.000000, -0.004461, 0.038943, -0.048132, 0.000003, -0.000096, 0.000079, -0.385786, 9.802354, 0.004099, -0.004099, -0.034398, -0.048132, 
0.242000, 0.999848, -0.017428, -0.000004, -0.000012, -0.000000, -0.004720, 0.038943, -0.044371, 0.000003, -0.000094, 0.000079, -0.390253, 9.802255, 0.004140, -0.004140, -0.034858, -0.044371, 
0.254000, 0.999844, -0.017680, -0.000004, -0.000013, -0.000000, -0.005038, 0.038943, -0.040114, 0.000003, -0.000091, 0.000079, -0.393828, 9.802161, 0.004198, -0.004198, -0.035363, -0.040114, 
0.264000, 0.999840, -0.017874, -0.000004, -0.000013, -0.000000, -0.005309, 0.038943, -0.037483, 0.000003, -0.000089, 0.000079, -0.399891, 9.801945, 0.004235, -0.004235, -0.035750, -0.037483, 
0.274000, 0.999837, -0.018054, -0.000004, -0.000014, -0.000000, -0.005584, 0.038943, -0.034654, 0.000003, -0.000087, 0.000080, -0.401773, 9.801876, 0.004286, -0.004286, -0.036109, -0.034654, 
0.284000, 0.999834, -0.018221, -0.000004, -0.000014, -0.000000, -0.005865, 0.038943, -0.032317, 0.000003, -0.000085, 0.000080, -0.405602, 9.801725, 0.004333, -0.004333, -0.036444, -0.032317, 
0.294000, 0.999831, -0.018377, -0.000004, -0.000014, -0.000000, -0.006151, 0.038943, -0.030130, 0.000003, -0.000084, 0.000080, -0.408224, 9.801618, 0.004383, -0.004383, -0.036756, -0.030130, 
0.304000, 0.999828, -0.018523, -0.000004, -0.000015, -0.000000, -0.006442, 0.038943, -0.028207, 0.000003, -0.000082, 0.000080, -0.411058, 9.801500, 0.004433, -0.004433, -0.037047, -0.028207, 
0.314000, 0.999826, -0.018659, -0.000004, -0.000015, -0.000000, -0.006738, 0.038943, -0.026466, 0.000003, -0.000081, 0.000080, -0.413516, 9.801395, 0.004485, -0.004485, -0.037321, -0.026466, 
0.324000, 0.999823, -0.018788, -0.000004, -0.000016, -0.000000, -0.007040, 0.038943, -0.024914, 0.000003, -0.000079, 0.000080, -0.415885, 9.801293, 0.004538, -0.004538, -0.037578, -0.024914, 
0.334000, 0.999821, -0.018909, -0.000004, -0.000016, -0.000000, -0.007346, 0.038943, -0.023522, 0.000003, -0.000078, 0.000080, -0.418064, 9.801199, 0.004591, -0.004591, -0.037821, -0.023522, 
0.344000, 0.999819, -0.019024, -0.000004, -0.000016, -0.000000, -0.007657, 0.038943, -0.022279, 0.000003, -0.000077, 0.000080, -0.420120, 9.801110, 0.004645, -0.004645, -0.038051, -0.022279, 
0.354000, 0.999817, -0.019134, -0.000004, -0.000017, -0.000000, -0.007974, 0.038943, -0.021168, 0.000003, -0.000076, 0.000080, -0.422047, 9.801025, 0.004699, -0.004699, -0.038269, -0.021168, 
0.364000, 0.999815, -0.019237, -0.000004, -0.000017, -0.000000, -0.008295, 0.038943, -0.020178, 0.000003, -0.000075, 0.000080, -0.423866, 9.800945, 0.004754, -0.004754, -0.038477, -0.020178, 
0.374000, 0.999813, -0.019337, -0.000004, -0.000018, -0.000000, -0.008622, 0.038943, -0.019296, 0.000003, -0.000074, 0.000080, -0.425584, 9.800869, 0.004809, -0.004809, -0.038676, -0.019296, 
0.384000, 0.999811, -0.019432, -0.000004, -0.000018, -0.000001, -0.008953, 0.038943, -0.018512, 0.000003, -0.000074, 0.000080, -0.427214, 9.800797, 0.004864, -0.004864, -0.038866, -0.018512, 
0.394000, 0.999809, -0.019524, -0.000004, -0.000018, -0.000001, -0.009290, 0.038943, -0.017817, 0.000003, -0.000073, 0.000080, -0.428765, 9.800728, 0.004919, -0.004919, -0.039050, -0.017817, 
0.404000, 0.999808, -0.019612, -0.000004, -0.000019, -0.000001, -0.009631, 0.038943, -0.017201, 0.000003, -0.000072, 0.000080, -0.430246, 9.800662, 0.004974, -0.004974, -0.039226, -0.017201, 
0.414000, 0.999806, -0.019697, -0.000004, -0.000019, -0.000001, -0.009977, 0.038943, -0.016657, 0.000003, -0.000071, 0.000080, -0.431663, 9.800598, 0.005030, -0.005030, -0.039397, -0.016657, 
0.424000, 0.999804, -0.019780, -0.000004, -0.000019, -0.000001, -0.010329, 0.038943, -0.016179, 0.000003, -0.000071, 0.000080, -0.433025, 9.800537, 0.005085, -0.005085, -0.039563, -0.016179, 
0.434000, 0.999803, -0.019861, -0.000004, -0.000020, -0.000001, -0.010685, 0.038943, -0.015758, 0.000003, -0.000070, 0.000080, -0.434336, 9.800477, 0.005141, -0.005141, -0.039725, -0.015758, 
0.444000, 0.999801, -0.019940, -0.000004, -0.000020, -0.000001, -0.011045, 0.038943, -0.015391, 0.000003, -0.000069, 0.000080, -0.435604, 9.800420, 0.005196, -0.005196, -0.039883, -0.015391, 
0.454000, 0.999800, -0.020017, -0.000004, -0.000020, -0.000001, -0.011411, 0.038943, -0.015072, 0.000003, -0.000069, 0.000080, -0.436833, 9.800364, 0.005251, -0.005251, -0.040037, -0.015072, 
0.464000, 0.999798, -0.020093, -0.000004, -0.000021, -0.000001, -0.011782, 0.038943, -0.014795, 0.000003, -0.000068, 0.000080, -0.438027, 9.800309, 0.005306, -0.005306, -0.040188, -0.014795, 
0.474000, 0.999797, -0.020167, -0.000004, -0.000021, -0.000001, -0.012157, 0.038943, -0.014557, 0.000003, -0.000068, 0.000080, -0.439192, 9.800256, 0.005361, -0.005361, -0.040337, -0.014557, 
